Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
43,1130289408,R. Fenn,Ryan Fenn,Fenn,PR,Cal Poly,CP,5487,Cal Poly,BBC,R,R,1.890,.074,.355,.281,.272,.328,.395,.348,158,3.37,3.64,1.88,-.403,1.256
44,1303037440,J. Kramer,Joey Kramer,Kramer,DH,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1.878,.149,.403,.254,.147,.276,.381,.271,107,3.39,2.53,-2.29,-.169,6.306
45,1225480704,B. Mortensen,Broc Mortensen,Mortensen,RF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,1.857,.068,.399,.331,.201,.347,.392,.257,136,3.31,3.36,-5.36,.208,7.946
46,1300506368,J. Smith,Jalen Smith,Smith,3B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,1.771,.076,.373,.297,.267,.361,.389,.300,80,3.24,1.81,0.90,.847,2.186
47,1116314880,C. Connor,Caden Connor,Connor,CF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,1.721,.100,.396,.296,.234,.331,.414,.333,222,3.33,5.27,-10.64,-.658,11.754
48,1099160832,B. Larson,Brandon Larson,Larson,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,R,1.655,.014,.380,.365,.240,.303,.354,.297,145,3.24,3.06,-1.66,-.692,4.655
49,1125325824,K. Donahue,Kyson Donahue,Donahue,1B,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,1.582,-.033,.360,.393,.315,.379,.359,.292,171,3.29,3.80,-0.94,.063,2.283
50,1330455040,D. Stone,Damian Stone,Stone,LF,UC Davis,UCD,730153984,UC Davis,BBC,S,R,1.537,.001,.370,.369,.280,.374,.395,.304,184,3.33,4.23,-3.16,-.366,4.406
51,1311965440,B. Wilkinson,Brendan Wilkinson,Wilkinson,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1.513,.186,.421,.235,.176,.294,.457,.367,30,3.14,0.66,1.04,.694,2.363
52,1284929792,M. Latta,Maddox Latta,Latta,2B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,1.465,.077,.337,.260,.225,.296,.349,.285,172,3.28,3.88,2.70,.074,-1.856
53,1077586176,C. Santander,Cole Santander,Santander,DH,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,1.404,.056,.415,.359,.281,.360,.406,.333,60,3.13,1.27,-0.76,-.282,4.169
54,1318237440,J. Gallagher,Jack Gallagher,Gallagher,DH,UC Davis,UCD,730153984,UC Davis,BBC,R,R,1.370,.071,.343,.271,.148,.244,.307,.219,146,3.26,3.18,2.17,-.217,-.655
55,1242045952,C. Urman,Cole Urman,Urman,DH,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,1.325,.096,.300,.203,.186,.227,.305,.272,184,3.31,3.98,8.46,.564,-8.619
56,1263405056,B. Preap,Bradlee Preap,Preap,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,1.273,-.005,.392,.397,.286,.464,.464,.286,42,3.12,1.02,0.59,.098,2.260
57,1219195392,J. Ruley,Jacob Ruley,Ruley,2B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,1.139,.106,.378,.272,.214,.279,.362,.306,85,3.26,1.84,-0.16,-.609,2.644
58,1285050368,E. Dean,Emanuel Dean,Dean,LF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1.086,.170,.403,.233,.101,.269,.429,.306,49,3.25,1.20,-1.15,.353,3.128
59,1297440256,C. Mercurio,Camron Mercurio,Mercurio,C,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,1.050,-,.396,.096,-,.138,.448,.360,25,3.23,0.57,1.44,.064,1.316
60,1257421568,C. Nunez,Corey Nunez,Nunez,SS,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,1.028,.065,.309,.245,.207,.284,.330,.258,178,3.19,3.78,7.28,-1.042,-6.740
61,1180845312,K. Ashworth,Kyle Ashworth,Ashworth,CF,Long Beach State University,LBSU,730224128,Long Beach State,BBC,S,R,1.001,.073,.331,.258,.218,.315,.385,.301,163,3.29,3.76,2.45,-.197,-2.724
62,1179430400,N. Nankil,Nate Nankil,Nankil,RF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.931,.076,.369,.293,.250,.321,.380,.316,237,3.35,5.27,-7.70,.253,5.296
63,1207881216,B. Zeigler-namoa,Bennett Zeigler-namoa,Zeigler-namoa,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,L,L,.889,.028,.380,.352,.200,.329,.410,.299,144,3.38,3.47,-5.30,-.275,5.112
64,1188214784,J. Igawa,Jacob Igawa,Igawa,LF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,.871,.075,.371,.296,.233,.296,.385,.332,187,3.36,4.04,-5.06,-.378,4.321
65,1270530304,A. Saldivar,Angel Saldivar,Saldivar,C,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,.870,-.007,.326,.333,.249,.362,.352,.237,59,3.22,1.34,2.84,-.055,-1.318
66,1086562304,B. Bobo,Brendan Bobo,Bobo,3B,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,R,.755,.008,.344,.336,.186,.341,.362,.212,160,3.30,3.87,-2.05,1.250,-.576
67,1192539648,N. Sudyka,Noah Sudyka,Sudyka,SS,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.743,.027,.301,.274,.206,.327,.331,.211,114,3.21,2.78,5.46,.224,-6.086
68,1140293120,M. Grace,Mason Grace,Grace,C,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,.738,-.004,.314,.318,.286,.373,.367,.280,93,3.19,2.06,4.14,-.658,-3.189
69,1325488896,R. Ujimori,Ryson Ujimori,Ujimori,2B,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,.736,.010,.364,.354,.150,.274,.366,.257,35,3.19,0.77,0.48,.500,.602
70,1086594304,J. Haley,Jack Haley,Haley,SS,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,.691,.049,.311,.262,.191,.313,.355,.241,145,3.24,3.39,6.14,-1.571,-5.715
