Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,wSB,wOBA.,fWAR,RPW,RLR,rPOS,BSR,wRAA
80,1206987008,J. Stinson,Jacob Stinson,Stinson,RF,UC Irvine,UCI,3031,UC Irvine,BBC,L,R,.331,.210,.085,.278,.402,.250,88,-.107,-2,-.866,3.25,2.27,-3.36,.008,-1.730
81,1103322112,T. Weaver,Tyler Weaver,Weaver,2B,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,.275,.286,.258,.343,.316,.228,136,.503,-10,-.900,3.20,2.92,3.14,1.033,-9.972
82,1155638016,E. Saldivar,Eddie Saldivar,Saldivar,3B,Long Beach State University,LBSU,730224128,Long Beach State,BBC,L,R,.307,.266,.259,.301,.322,.282,220,-.894,-9,-.940,3.33,4.77,2.90,-2.089,-8.717
83,1229118720,R. Lee,Ryan Lee,Lee,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.267,.225,.167,.277,.313,.209,86,-.081,-7,-1.046,3.19,1.87,2.12,-.202,-7.122
84,1310424320,T. Shimao,Tate Shimao,Shimao,2B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.287,.221,.189,.253,.313,.255,145,-.107,-9,-1.354,3.24,3.06,0.68,.458,-8.595
85,1212892672,D. Kane,Doyle Kane,Kane,1B,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.356,.324,.276,.353,.394,.323,192,-.978,2,-1.393,3.35,4.32,-9.16,-1.598,1.767
86,1263499009,N. Leehey,Nick Leehey,Leehey,3B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.326,.319,.259,.350,.356,.267,180,-.183,-4,-1.445,3.25,3.99,-4.20,-.622,-3.871
87,1330454016,N. Oakley,Nick Oakley,Oakley,2B,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,L,R,.275,.282,.185,.269,.270,.186,113,-.818,-8,-1.450,3.17,2.34,1.74,-.606,-8.075
88,1309426944,C. Wallace,Colby Wallace,Wallace,RF,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,L,L,.299,.246,.167,.284,.342,.237,93,.101,-5,-1.677,3.26,2.12,-3.07,.235,-4.747
89,1190293760,J. Shanks,Jacob Shanks,Shanks,DH,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,.326,.305,.286,.353,.354,.287,174,.121,-4,-1.748,3.23,3.72,-6.35,.571,-3.589
90,1162557440,L. Mccollum,Letrey Mccollum,Mccollum,LF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,.342,.287,.228,.347,.408,.302,179,.430,-1,-1.824,3.26,4.10,-9.50,.444,-.998
91,1110437888,J. Walls,Joseph Walls,Walls,DH,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,.308,.246,.165,.256,.294,.208,120,-.078,-5,-1.922,3.31,2.66,-4.43,.162,-4.765
92,1162037504,L. Helfrick,Leighton Helfrick,Helfrick,RF,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.289,.236,.219,.271,.295,.245,98,.328,-5,-1.985,3.15,1.94,-3.02,.254,-5.417
93,1228521728,A. Miller,A.j. Miller,Miller,RF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,L,R,.323,.287,.210,.307,.335,.242,161,.253,-4,-2.001,3.28,3.58,-6.08,-.032,-4.027
94,1310333440,W. King,Wyatt King,King,RF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,.320,.280,.186,.331,.352,.211,147,-.918,-4,-2.002,3.23,3.45,-4.92,-.573,-4.419
95,1179433472,A. Mata,Anthony Mata,Mata,SS,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,.245,.283,.245,.331,.293,.200,135,-.672,-14,-2.196,3.21,2.99,5.18,-.830,-14.395
96,1188215296,K. Palmeira,Konnor Palmeira,Palmeira,1B,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,.302,.300,.241,.343,.345,.242,99,-.105,-5,-2.369,3.24,2.21,-5.51,.281,-4.662
97,1263684864,J. Badawi,Jacob Badawi,Badawi,LF,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,.280,.140,.127,.153,.286,.266,154,.092,-10,-2.468,3.27,3.12,-1.56,.008,-9.635
98,1078832384,B. Kleszcz,Brock Kleszcz,Kleszcz,RF,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,.300,.167,.151,.200,.301,.261,134,-.080,-6,-2.620,3.23,2.77,-5.32,.214,-6.132
99,1203413504,D. Martinez,Dominic Martinez,Martinez,3B,UC Riverside,UCRV,730281728,UC Riverside,BBC,L,R,.257,.211,.186,.238,.274,.225,151,-.851,-13,-2.944,3.18,3.06,1.15,-.491,-13.068
100,1158561792,N. Iverson,Nick Iverson,Iverson,2B,UC Davis,UCD,730153984,UC Davis,BBC,R,R,.265,.236,.200,.272,.291,.221,131,-2.007,-11,-3.641,3.17,2.80,-1.12,-2.181,-11.033
101,1228521472,J. Bell,James Bell,Bell,LF,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,.289,.249,.211,.258,.303,.259,185,-.522,-10,-3.973,3.20,3.72,-4.91,-1.397,-10.132
102,1327711744,J. Yorke,Joe Yorke,Yorke,1B,Cal Poly,CP,5487,Cal Poly,BBC,L,R,.305,.254,.240,.272,.315,.285,200,-.159,-8,-4.305,3.20,4.02,-8.93,-.976,-7.899
