Count,Outs,Pitcher,Batter,Type,PitchResult,Vel,Spin,ExitVel,LaunchAng,pCallStrk%
2-1,2,T. Kniskern (PEPP),B. Mortensen (UCSB),Fastball,Ground Out,87.1,2008.5,101.2,4.7,87.70%
1-1,1,D. Stewart (PEPP),J. Newman jr. (UCSB),Fastball,Fly Out,86.9,2041.5,98.2,25.8,85.70%
0-0,2,D. Stewart (PEPP),J. Trimble (UCSB),Changeup,Line Out,79.6,1859.2,105.8,19.5,98.20%
1-0,0,N. Diamond (PEPP),C. Nunez (UCSB),Changeup,Fly Out,81.4,1649.8,100.7,35.1,82.70%
0-0,1,N. Diamond (PEPP),Z. Darby (UCSB),Curveball,Single on a Line Drive,73.9,2149.4,103.3,12,98.00%
1-2,1,N. Diamond (PEPP),C. Kirtley (UCSB),Changeup,Pop Out,81.9,1749.8,84.9,50.6,61.30%
0-2,2,N. Diamond (PEPP),J. Sundstrom (UCSB),Sinker,Single on a Fly Ball,85.8,2079.8,71.2,36,78.60%
2-2,1,N. Diamond (PEPP),J. Sebring (UCSB),Changeup,Fly Out,76.2,3356.7,93.8,29.1,95.70%
1-0,2,N. Diamond (PEPP),J. Newman jr. (UCSB),Changeup,Pop Out,80.9,1635.1,72.9,62.2,89.90%
1-0,1,D. Maccallum (PEPP),C. Nunez (UCSB),Fastball,Line Out,88.1,2169.1,88.1,19.2,85.20%
3-1,2,D. Maccallum (PEPP),C. Kirtley (UCSB),Fastball,Pop Out,87.7,2224.3,69.4,64,83.80%
0-2,2,D. Maccallum (PEPP),B. Mortensen (UCSB),Fastball,Double on a Fly Ball,89,2141.5,94.1,35,93.20%
3-0,2,D. Maccallum (PEPP),J. Sebring (UCSB),Fastball,Fly Out,87,2102.1,100.5,29,99.10%
2-0,0,Z. Chonkich (PEPP),J. Newman jr. (UCSB),Sinker,Ground Out,89.5,2426.6,62.5,-72.8,50.60%
2-0,1,Z. Chonkich (PEPP),L. Mccollum (UCSB),Fastball,Fly Out,91.4,2397.2,96.4,40.6,61.00%
0-0,2,Z. Chonkich (PEPP),C. Nunez (UCSB),Fastball,Fly Out,91.5,2401.7,98.9,21.1,98.40%
1-2,0,D. Suarez (UCI),Z. Darby (UCSB),Slider,Fly Out,80.9,2222.2,88.3,35.5,26.70%
0-1,1,D. Suarez (UCI),A. Parker (UCSB),Fastball,Fly Out,87.5,2247.5,88.4,39.9,97.00%
2-2,0,D. Suarez (UCI),B. Mortensen (UCSB),Slider,Fly Out,82.8,2170.5,71.6,43.9,87.80%
1-1,2,D. Suarez (UCI),J. Newman jr. (UCSB),Slider,Single on a Line Drive,79.5,2136.1,100,16.7,86.70%
2-0,2,D. Suarez (UCI),J. Sebring (UCSB),Fastball,Single on a Line Drive,85.1,2201.5,82.5,19.3,96.90%
2-2,1,D. Suarez (UCI),Z. Darby (UCSB),Fastball,Line Out,87.3,2274.8,100.3,16.8,23.50%
0-0,2,D. Suarez (UCI),A. Parker (UCSB),Slider,Pop Out,78.7,2008,86.8,69.8,97.50%
0-1,0,D. Suarez (UCI),J. Sundstrom (UCSB),Changeup,Home Run on a 396.31 ft Fly Ball,78.8,1312.6,107,24.9,59.70%
0-0,0,D. Suarez (UCI),B. Mortensen (UCSB),Fastball,Single on a Ground Ball,86.2,2271.9,77.1,-13.1,95.20%
2-2,0,D. Suarez (UCI),L. Mccollum (UCSB),Fastball,Single on a Ground Ball,88.1,2292.6,108.8,-26.7,48.50%
2-2,2,D. Suarez (UCI),C. Nunez (UCSB),Fastball,Double on a Line Drive,88.9,2229,99.4,9.6,95.40%
1-2,2,D. Suarez (UCI),Z. Darby (UCSB),Changeup,Ground Out,78.8,1293.8,43.4,-15.1,91.50%
3-2,0,C. Wheeler (UCI),C. Kirtley (UCSB),Changeup,Fly Out,86.2,1978.5,87.6,35,94.20%
0-0,1,C. Wheeler (UCI),A. Parker (UCSB),Sinker,Single on a Ground Ball,86.1,1965.7,92.3,-4.4,97.70%
2-1,1,C. Wheeler (UCI),J. Sundstrom (UCSB),Changeup,Home Run on a 415.85 ft Fly Ball,86.3,2108.2,105.7,20.7,95.40%
1-0,1,C. Wheeler (UCI),B. Mortensen (UCSB),Changeup,Home Run on a 407.37 ft Fly Ball,84.1,2130.7,96.1,26.2,36.00%
0-2,1,C. Robinson (UCI),L. Mccollum (UCSB),Sinker,Single on a Ground Ball,92,2151.7,77.3,-21.6,56.40%
0-2,1,C. Robinson (UCI),J. Sebring (UCSB),Sinker,Home Run on a 426.92 ft Fly Ball,91.1,2333.2,103.4,25.9,73.50%
3-1,1,A. Antone (UCI),C. Nunez (UCSB),Fastball,Ground Out,87.4,2257.8,90.8,0.1,96.50%
2-1,2,A. Antone (UCI),Z. Darby (UCSB),Sinker,Line Out,90.7,2236.2,100.1,14.8,93.30%
0-2,1,A. Antone (UCI),A. Parker (UCSB),Sinker,Fly Out,88.9,2209.4,99.2,30.7,84.30%
1-2,2,A. Antone (UCI),B. Mortensen (UCSB),Splitter,Fly Out,79.2,1145.7,94,36,95.70%
3-1,2,A. Antone (UCI),J. Sebring (UCSB),Sinker,Double on a Fly Ball,92.2,2124.2,95.6,27.3,97.70%
1-2,2,A. Antone (UCI),C. Nunez (UCSB),Sinker,Single on a Line Drive,88.7,2266.4,92.9,5,38.30%
0-2,2,N. Rincover (UCI),Z. Darby (UCSB),Curveball,Fly Out,75,2565.2,63.6,29.8,14.10%
0-1,0,T. Brooks (UCI),C. Kirtley (UCSB),Curveball,Single on a Ground Ball,82.2,2982.4,87.2,-1,93.10%
2-1,1,T. Brooks (UCI),B. Mortensen (UCSB),Fastball,Home Run on a 404.97 ft Fly Ball,90.9,2436.5,105.6,22.4,88.20%
1-2,1,M. Martin (UCI),L. Mccollum (UCSB),Fastball,Double on a Line Drive,92.4,2350.6,102.5,16.9,96.40%
0-1,1,M. Martin (UCI),J. Newman jr. (UCSB),Fastball,Ground Out,91.1,2264.4,96.1,-11,96.60%
2-1,2,M. Martin (UCI),J. Sebring (UCSB),Sinker,Double on a Fly Ball,91.6,2309,99.5,21,22.40%
1-0,2,M. Martin (UCI),C. Nunez (UCSB),Slider,Fly Out,78.7,2201.5,80.1,39.4,97.20%
1-2,0,T. Brooks (UCI),L. Mccollum (UCSB),Curveball,Ground Out,82,2795.9,85.8,-27.6,88.30%
2-2,1,T. Brooks (UCI),Z. Darby (UCSB),Sinker,Fly Out,91,2379.5,87.3,33,98.50%
3-2,2,T. Brooks (UCI),C. Kirtley (UCSB),Sinker,Home Run on a 408.55 ft Fly Ball,91.3,2407.6,106.4,25.6,97.50%
0-1,0,N. Pinto (UCI),A. Parker (UCSB),Sinker,Reached on Error on a Ground Ball,89.8,2106.1,68.7,-31.6,0.00%
2-0,2,N. Pinto (UCI),N. Oakley (UCSB),Fastball,Ground Out,87.4,2110.7,94.1,-5.6,96.60%
0-1,0,N. Pinto (UCI),C. Nunez (UCSB),Fastball,Fly Out,89.4,2138.2,96.1,20.4,96.50%
3-2,0,N. Pinto (UCI),C. Kirtley (UCSB),Fastball,Double on a Line Drive,88.8,2186.6,100.4,19.3,96.90%
0-0,0,N. Pinto (UCI),A. Parker (UCSB),Sinker,Single on a Line Drive,87.1,1981.9,97.6,7.9,93.30%
0-0,0,N. Pinto (UCI),B. Mortensen (UCSB),Curveball,Sac Fly,77.3,2755.3,92.3,23.3,93.70%
1-1,1,N. Pinto (UCI),L. Mccollum (UCSB),Fastball,Single on a Line Drive,88,2134.5,91.9,9.3,50.90%
1-2,1,N. Pinto (UCI),Z. Darby (UCSB),Curveball,Ground Out,77.5,2728.6,82.7,-46.2,94.60%
1-0,0,N. Pinto (UCI),J. Sundstrom (UCSB),Sinker,Single on a Line Drive,86.7,1954.1,90.2,12.2,90.00%
2-1,1,N. Pinto (UCI),B. Mortensen (UCSB),Fastball,Fly Out,88.1,2113.6,87.8,29.2,98.10%
2-2,1,F. Wall (UCI),C. Nunez (UCSB),Fastball,Ground Out,91,2469.9,65.6,-9.1,94.90%
1-1,1,F. Wall (UCI),C. Kirtley (UCSB),Fastball,Home Run on a 403.34 ft Fly Ball,88.4,2502.1,103.3,25.4,96.50%
0-2,1,J. King (UCI),J. Sundstrom (UCSB),Slider,Fly Out,83.1,1981.9,98.9,39.7,91.20%
0-2,2,J. King (UCI),A. Parker (UCSB),Slider,Line Out,83.4,2003.7,58.1,17.6,21.90%
1-1,1,J. King (UCI),J. Newman jr. (UCSB),Slider,Single on a Line Drive,84.3,2016.7,102.6,12.4,98.70%
1-0,2,J. King (UCI),C. Nunez (UCSB),Slider,Ground Out,83.4,2118.9,71.7,-44.6,98.90%
3-2,1,C. Van allen (SJSU),Z. Darby (UCSB),Fastball,Fly Out,92.5,2368.7,83.1,28.6,71.40%
3-2,0,C. Van allen (SJSU),C. Kirtley (UCSB),Fastball,Fly Out,91.6,2286.5,96,51.5,97.20%
0-2,2,C. Van allen (SJSU),A. Parker (UCSB),Fastball,Single on a Ground Ball,92,2383.9,94.8,-9,96.10%
3-2,2,C. Van allen (SJSU),J. Sundstrom (UCSB),Curveball,Single on a Line Drive,76.9,2171.9,83.3,16.3,84.00%
2-1,1,C. Van allen (SJSU),C. Nunez (UCSB),Fastball,Double on a Fly Ball,90.9,2329.1,98.4,21.6,97.90%
0-0,1,C. Van allen (SJSU),L. Mccollum (UCSB),Fastball,Pop Out,81.8,2109.3,77.5,73.8,8.40%
0-1,2,C. Van allen (SJSU),Z. Darby (UCSB),Fastball,Ground Out,91.1,2388.7,105,-9,98.50%
1-2,0,C. Van allen (SJSU),J. Newman jr. (UCSB),Fastball,Line Out,90.7,2310.8,87.7,12.5,30.20%
2-1,1,C. Van allen (SJSU),B. Mortensen (UCSB),Fastball,Single on a Line Drive,88.5,2220.4,104.9,18.8,97.50%
3-1,1,C. Van allen (SJSU),J. Sundstrom (UCSB),Fastball,Home Run on a 408.26 ft Fly Ball,89.5,2175.9,106.5,37.8,97.70%
1-2,1,C. Sanchez (SJSU),N. Oakley (UCSB),Fastball,Fly Out,88.1,2300.2,96.4,38,83.90%
0-2,2,C. Sanchez (SJSU),C. Nunez (UCSB),Changeup,Single on a Line Drive,83.5,1609.7,95.1,8.1,95.60%
0-2,2,C. Sanchez (SJSU),L. Mccollum (UCSB),Fastball,Single on a Ground Ball,88.5,2157.9,89.2,-15.7,95.10%
3-2,2,C. Sanchez (SJSU),Z. Darby (UCSB),Fastball,Double on a Ground Ball,88,2167.8,88.4,-0.6,88.70%
3-2,2,C. Sanchez (SJSU),J. Newman jr. (UCSB),Curveball,Ground Out,78.6,2215.7,104.2,-16.2,70.60%
3-2,2,C. Sanchez (SJSU),J. Brown (UCSB),Fastball,Fly Out,88,2246,99.2,48.1,97.90%
0-0,1,C. Sanchez (SJSU),N. Oakley (UCSB),Fastball,Bunt Ground Out,86.7,2133.7,39.5,8.7,0.70%
0-0,2,C. Sanchez (SJSU),C. Nunez (UCSB),Sinker,Single on a Line Drive,87.4,2187.7,89.5,9.4,77.10%
1-0,2,C. Sanchez (SJSU),L. Mccollum (UCSB),Sinker,Ground Out,86.3,2076.2,87.4,-19.7,97.30%
1-2,0,C. Cushing (SJSU),J. Newman jr. (UCSB),Fastball,Single on a Fly Ball,86.9,2192.8,73.6,25.5,76.00%
2-2,0,J. Cammarata (SJSU),B. Mortensen (UCSB),Slider,Double on a Fly Ball,81.4,2302.8,97.9,27,10.00%
0-0,0,J. Cammarata (SJSU),N. Oakley (UCSB),Sinker,Fielder's Choice,91.1,1921.3,78.5,-10.6,61.40%
3-2,1,J. Cammarata (SJSU),C. Nunez (UCSB),Sinker,Ground Out,90,1956.4,96.2,-2.1,97.30%
0-0,0,T. Ernt (SJSU),Z. Darby (UCSB),Changeup,Fly Out,81.1,1818.6,94,32.4,84.70%
0-1,1,T. Ernt (SJSU),C. Kirtley (UCSB),Changeup,Ground Out,82.7,1807.2,85,-33.1,78.30%
0-0,0,K. Chase (SJSU),L. Mccollum (UCSB),Fastball,Single on a Bunt Ground Ball,89.9,1802.6,28.9,-13.8,72.40%
1-1,0,K. Chase (SJSU),A. Parker (UCSB),Fastball,Fielder's Choice,89.6,1964.5,96.2,4.6,78.50%
1-1,1,K. Chase (SJSU),Z. Darby (UCSB),Fastball,Sac Fly,89.9,2101.9,89.3,47.4,96.50%
1-0,2,K. Chase (SJSU),B. Mortensen (UCSB),Fastball,Fly Out,90.3,2009.5,81.1,42.7,97.90%
0-1,2,K. Chase (SJSU),C. Nunez (UCSB),Slider,Single on a Fly Ball,81.3,1818,72.3,28.3,12.30%
0-2,2,K. Chase (SJSU),J. Newman jr. (UCSB),Curveball,Fielder's Choice,74.5,2319.5,93.2,-1.3,1.70%
0-0,1,K. Chase (SJSU),A. Parker (UCSB),Slider,Fly Out,82.7,1925.2,91.5,51.4,96.00%
2-0,2,K. Chase (SJSU),Z. Darby (UCSB),Fastball,Pop Out,91.1,2104.6,88.8,64.7,70.70%
3-2,0,K. Chase (SJSU),C. Kirtley (UCSB),Fastball,Home Run on a 401.64 ft Fly Ball,89.9,1944.4,107.1,30.3,35.60%
1-1,0,K. Chase (SJSU),B. Mortensen (UCSB),Fastball,Single on a Ground Ball,90,2060.5,98.1,-5.4,97.80%
2-1,0,K. Chase (SJSU),J. Sundstrom (UCSB),Fastball,Double on a Line Drive,90.3,2144.3,103.9,12,80.20%
3-2,0,K. Chase (SJSU),J. Sebring (UCSB),Fastball,Ground Out,90,2173.3,102,-52,70.60%
1-1,2,K. Chase (SJSU),L. Mccollum (UCSB),Fastball,Ground Out,90.4,2131.8,49.1,0.1,12.60%
0-1,1,J. Gutierrez (SJSU),C. Kirtley (UCSB),Changeup,Reached on Fielder's Choice,76.1,1446.1,66.4,-12.6,47.90%
1-2,1,J. Gutierrez (SJSU),C. Nunez (UCSB),Fastball,Fly Out,87.1,2361,90.5,37,91.20%
1-2,0,N. Hansen (SJSU),L. Mccollum (UCSB),Fastball,Ground Out,90.4,2290.7,80.2,-46.8,85.20%
3-1,1,N. Hansen (SJSU),A. Parker (UCSB),Fastball,Ground Out,88.7,2188,97.8,1.9,98.10%
0-1,1,E. Ross (SJSU),N. Oakley (UCSB),Sinker,Ground Out,91.6,1932.5,91.5,-34.1,95.60%
0-1,2,E. Ross (SJSU),C. Nunez (UCSB),Sinker,Single on a Line Drive,92,2121.8,83.2,9.3,66.90%
2-1,2,E. Ross (SJSU),L. Mccollum (UCSB),Sinker,Fielder's Choice,91.4,1972.6,96.4,-10.2,85.20%
0-0,1,D. Jansen (SJSU),Z. Darby (UCSB),Fastball,Fly Out,90.4,1916.7,90.5,47.7,96.50%
2-0,2,D. Jansen (SJSU),C. Kirtley (UCSB),Fastball,Home Run on a 399.60 ft Fly Ball,90.1,1779.9,108.8,21.9,99.10%
1-1,1,E. Yates (CSF),Z. Darby (UCSB),Changeup,Pop Out,82,1954.3,82.9,64.2,98.80%
1-0,0,E. Yates (CSF),A. Parker (UCSB),Fastball,Single on a Ground Ball,89.7,2298.3,95,0.4,97.20%
1-0,0,E. Yates (CSF),J. Sundstrom (UCSB),Slider,Fly Out,82.2,2418.7,92.8,55.4,83.90%
1-2,1,E. Yates (CSF),B. Mortensen (UCSB),Fastball,Single on a Line Drive,89.8,2298.6,99.7,18.3,24.00%
2-2,0,E. Yates (CSF),N. Oakley (UCSB),Curveball,Ground Out,75.9,2478.6,94.3,-3.3,25.70%
0-1,1,E. Yates (CSF),C. Nunez (UCSB),Slider,Double on a Fly Ball,83.7,2364.9,72.2,26.5,2.80%
3-2,1,E. Yates (CSF),L. Mccollum (UCSB),Fastball,Pop Out,90.4,2114.8,84.6,65.9,80.60%
3-2,0,E. Yates (CSF),C. Kirtley (UCSB),Fastball,Fly Out,90.2,2210.8,83.7,31.7,96.60%
0-0,1,E. Yates (CSF),A. Parker (UCSB),Curveball,Double on a Line Drive,76.3,2396.4,77.9,14.8,98.20%
1-2,0,E. Yates (CSF),J. Newman jr. (UCSB),Fastball,Single on a Line Drive,90,2160,103.5,6.7,11.90%
3-2,0,E. Yates (CSF),N. Oakley (UCSB),Fastball,Fielder's Choice,91.6,2229.2,64.6,-45,0.00%
1-0,1,E. Yates (CSF),C. Nunez (UCSB),Fastball,Single on a Line Drive,89.6,2234.3,100.2,13.8,85.10%
0-0,0,E. Yates (CSF),Z. Darby (UCSB),Changeup,Ground Out,79.1,1855.3,97.3,-6.5,99.00%
1-0,1,E. Yates (CSF),C. Kirtley (UCSB),Fastball,Single on a Line Drive,89.9,2279.1,79.1,16.8,81.80%
3-2,2,E. Yates (CSF),J. Sundstrom (UCSB),Slider,Single on a Ground Ball,85.1,2451.6,106.4,0.6,73.50%
1-2,2,E. Yates (CSF),B. Mortensen (UCSB),Curveball,Line Out,78.1,2523.4,98.1,19,96.90%
0-0,0,T. Hinkel (CSF),N. Oakley (UCSB),Sinker,Fly Out,94.2,2231.1,106.4,38.6,97.30%
1-1,1,T. Hinkel (CSF),C. Nunez (UCSB),Sinker,Fly Out,93.8,2061.6,85.8,28.5,97.40%
2-2,2,T. Hinkel (CSF),L. Mccollum (UCSB),Slider,Double on a Line Drive,84.7,2130.5,98.1,12.2,97.40%
2-2,1,T. Hinkel (CSF),A. Parker (UCSB),Fastball,Ground Out,94.3,2098.9,72.9,-8.7,21.10%
1-2,0,F. Chester (CSF),L. Mccollum (UCSB),Slider,Ground Out,86.1,2322,75.2,-9.7,82.00%
1-1,1,F. Chester (CSF),Z. Darby (UCSB),Sinker,Single on a Line Drive,90.8,2113.4,90.6,19.3,86.60%
0-0,1,F. Chester (CSF),I. Brethowr (UCSB),Sinker,Ground Out,89.6,2060.5,64.7,-76.3,97.60%
1-0,2,F. Chester (CSF),A. Parker (UCSB),Sinker,Line Out,89.2,2208.3,90.2,11.9,74.80%
1-1,0,F. Chester (CSF),C. Kirtley (UCSB),Slider,Single on a Line Drive,84.8,2161.7,85,17.4,87.20%
0-0,1,F. Chester (CSF),J. Sundstrom (UCSB),Sinker,Double Play,90.6,2087.2,76.1,14,94.90%
1-2,1,F. Chester (CSF),N. Oakley (UCSB),Sinker,Ground Out,92.6,2179.4,97.3,-1,57.40%
1-2,2,F. Chester (CSF),L. Mccollum (UCSB),Sinker,Ground Out,90.9,2172,12.7,-36.2,0.90%
3-0,0,F. Chester (CSF),Z. Darby (UCSB),Sinker,Fly Out,89.5,2181.4,100.5,20.7,41.60%
0-0,1,F. Chester (CSF),I. Brethowr (UCSB),Sinker,Ground Out,89.4,2140.4,110.1,-0.6,96.20%
0-0,2,F. Chester (CSF),A. Parker (UCSB),Sinker,Single on a Line Drive,88.8,2052.5,102.7,10.6,97.40%
1-2,2,F. Chester (CSF),C. Kirtley (UCSB),Sinker,Fielder's Choice,90.1,2199.9,78.8,-4.2,92.90%
2-1,0,F. Chester (CSF),B. Mortensen (UCSB),Sinker,Home Run on a 416.90 ft Fly Ball,88.3,2114.3,106.4,33,98.10%
1-1,0,F. Chester (CSF),J. Sundstrom (UCSB),Sinker,Pop Out,88.6,2012.4,65.6,48.5,81.70%
1-2,1,F. Chester (CSF),C. Nunez (UCSB),Curveball,Fly Out,78.8,2140,96.2,38.7,97.00%
0-0,2,F. Chester (CSF),N. Oakley (UCSB),Changeup,Pop Out,77.5,1958.8,86.3,61.5,96.60%
0-1,0,F. Chester (CSF),L. Mccollum (UCSB),Sinker,Ground Out,88.8,2017.6,47.1,-20.2,30.70%
2-2,1,F. Chester (CSF),Z. Darby (UCSB),Sinker,Ground Out,90,1982.3,81.1,-64.8,13.00%
1-1,2,F. Chester (CSF),I. Brethowr (UCSB),Sinker,Ground Out,87.8,2035,52.7,-12.8,4.90%
1-1,0,F. Chester (CSF),A. Parker (UCSB),Fastball,Double on a Ground Ball,87.6,2017.2,86.5,-5.7,88.50%
0-1,0,F. Chester (CSF),C. Kirtley (UCSB),Curveball,Fly Out,77,2286.5,96.7,50.1,63.40%
0-0,1,F. Chester (CSF),B. Mortensen (UCSB),Curveball,Fly Out,77,2165,93.2,41,97.30%
2-1,1,J. Ingrassia (CSF),N. Oakley (UCSB),Sinker,Ground Out,90.9,2151,66.7,-3.8,44.60%
1-1,2,J. Ingrassia (CSF),L. Mccollum (UCSB),Sinker,Single on a Line Drive,91.4,2096.4,102,12.4,95.10%
0-1,0,J. Ingrassia (CSF),I. Brethowr (UCSB),Changeup,Ground Out,83.7,1598.5,49,-58.8,55.30%
2-2,0,T. Stultz (CSF),L. Mccollum (UCSB),Sinker,Ground Out,89.3,2290.1,101.5,4,78.40%
2-2,1,T. Stultz (CSF),Z. Darby (UCSB),Fastball,Single on a Ground Ball,88.8,2228.3,105.7,1.3,94.60%
2-1,1,T. Stultz (CSF),A. Parker (UCSB),Changeup,Ground Out,78.3,1600.3,56,-49.5,87.60%
2-0,0,T. Stultz (CSF),J. Sundstrom (UCSB),Fastball,Pop Out,88.5,2153.5,85.2,75.4,93.20%
1-2,1,T. Stultz (CSF),J. Sebring (UCSB),Fastball,Fielder's Choice,88.3,2158.9,62.3,-55.3,97.50%
1-2,2,T. Stultz (CSF),C. Nunez (UCSB),Slider,Reached on Error on a Ground Ball,76.4,2530.2,74.7,-13.9,12.30%
1-1,2,T. Stultz (CSF),N. Oakley (UCSB),Slider,Home Run on a 409.27 ft Fly Ball,78,2501.6,105,26.8,97.30%
1-0,2,T. Stultz (CSF),Z. Darby (UCSB),Sinker,Single on a Line Drive,88.5,2225.8,87.4,16,76.70%
1-1,2,T. Stultz (CSF),A. Parker (UCSB),Fastball,Line Out,88,2110.1,104.8,15.6,92.00%
0-0,0,T. Stultz (CSF),I. Brethowr (UCSB),Changeup,Double on a Line Drive,78.5,1645.6,102.2,15.7,81.80%
0-1,0,T. Stultz (CSF),C. Kirtley (UCSB),Sinker,Double on a Fly Ball,87.1,2032.5,96.5,25.4,95.60%
0-1,0,T. Stultz (CSF),J. Sundstrom (UCSB),Changeup,Home Run on a 407.09 ft Fly Ball,79.1,1478.5,107.8,29,97.40%
2-1,0,T. Stultz (CSF),J. Sebring (UCSB),Slider,Double on a Line Drive,84.3,2445.7,90.2,16.8,97.80%
0-2,0,T. Stultz (CSF),N. Oakley (UCSB),Slider,Fly Out,84.2,2297.4,86,40.6,96.60%
0-1,1,T. Stultz (CSF),L. Mccollum (UCSB),Fastball,Single on a Line Drive,87.7,2339.9,106.1,8.1,97.20%
0-0,1,J. Blood (CSF),A. Parker (UCSB),Fastball,Fielder's Choice,87,2113.1,57.5,-79,84.80%
2-2,2,J. Blood (CSF),I. Brethowr (UCSB),Changeup,Single on a Line Drive,76,1876.6,88.5,7.6,0.00%
1-1,2,J. Blood (CSF),C. Kirtley (UCSB),Changeup,Line Out,87,2081.7,110.5,6.1,94.10%
0-1,2,J. Blood (CSF),C. Nunez (UCSB),Sinker,Single on a Ground Ball,88.2,2063.4,99.3,1.6,98.10%
0-1,0,J. Blood (CSF),L. Mccollum (UCSB),Curveball,Fly Out,76,2135.7,89,21.1,77.00%
0-0,1,J. Blood (CSF),Z. Darby (UCSB),Fastball,Single on a Ground Ball,87.6,2125.9,89.3,4.3,97.70%
2-1,1,J. Blood (CSF),I. Brethowr (UCSB),Sinker,Ground Out,87.5,2059.7,60.3,-5.1,92.30%
1-2,2,J. Blood (CSF),C. Kirtley (UCSB),Changeup,Ground Out,75.6,2090.9,78.1,-15.4,37.80%
0-1,0,S. Tomczak (CSF),J. Sundstrom (UCSB),Slider,Pop Out,82.9,2287,77.2,57.1,97.50%
0-0,2,S. Tomczak (CSF),C. Nunez (UCSB),Fastball,Reached on Error on a Ground Ball,93.9,2069,80.9,-1.5,98.00%
0-2,0,S. Tomczak (CSF),L. Mccollum (UCSB),Slider,Single on a Line Drive,85.1,2395.7,95.2,17.6,96.20%
3-2,0,S. Tomczak (CSF),Z. Darby (UCSB),Slider,Ground Out,81,2253.3,78.3,-10.3,97.10%
3-2,1,S. Tomczak (CSF),A. Parker (UCSB),Sinker,Fly Out,92.6,2155.1,94.6,34.1,92.80%
1-0,2,S. Tomczak (CSF),L. Mosby (UCSB),Fastball,Pop Out,91.6,2174.1,96.4,67.7,56.90%
0-1,0,C. Herrera (CSF),C. Kirtley (UCSB),Changeup,Double on a Fly Ball,79.5,2174.4,108.1,21.3,94.30%
0-1,0,C. Herrera (CSF),J. Sundstrom (UCSB),Sinker,Single on a Line Drive,87.5,1897,109.1,10.7,98.10%
3-2,1,C. Herrera (CSF),C. Nunez (UCSB),Fastball,Pop Out,87.7,2086.3,59.4,62.1,14.10%
2-1,2,C. Herrera (CSF),N. Oakley (UCSB),Changeup,Home Run on a 424.24 ft Fly Ball,79.8,2075,98.1,27.5,96.80%
2-0,1,C. Herrera (CSF),A. Parker (UCSB),Fastball,Fly Out,87.6,2174.7,102.6,33.3,89.90%
0-1,0,T. Garcia (FRES),L. Mccollum (UCSB),Slider,Single on a Line Drive,79,2380.7,75.7,20.3,95.70%
1-2,0,T. Garcia (FRES),A. Parker (UCSB),Changeup,Fly Out,79.4,1829.8,94.5,40.8,96.50%
2-0,1,T. Garcia (FRES),Z. Darby (UCSB),Changeup,Ground Out,79.3,1837.4,35.3,-37.9,97.80%
2-2,0,J. Anker (FRES),C. Kirtley (UCSB),Fastball,Home Run on a Fly Ball,91.6,1912.1,105.1,28.4,75.40%
0-2,0,J. Anker (FRES),J. Newman jr. (UCSB),Sinker,Fielder's Choice,90.1,2126.6,52.1,-24.9,73.10%
1-0,1,J. Anker (FRES),J. Sundstrom (UCSB),Fastball,Double Play,90.3,2211,92.4,-9,98.00%
0-0,1,J. Anker (FRES),C. Nunez (UCSB),Slider,Fly Out,83.4,1993.4,81,38.3,98.00%
0-2,2,J. Anker (FRES),L. Mccollum (UCSB),Fastball,Ground Out,92.2,2163.9,78.5,-17,95.20%
0-0,0,T. Hopfe (FRES),A. Parker (UCSB),Sinker,Home Run on a 418.67 ft Fly Ball,93.6,2159.8,103.3,27.3,95.90%
0-0,0,T. Hopfe (FRES),C. Kirtley (UCSB),Sinker,Single on a Line Drive,91,2129.1,104.3,6.6,97.80%
0-1,0,T. Hopfe (FRES),B. Mortensen (UCSB),Sinker,Home Run on a Fly Ball,91.4,2203,105.2,34.7,95.20%
0-0,0,T. Hopfe (FRES),J. Newman jr. (UCSB),Slider,Ground Out,86,2412.2,43.6,-36.7,49.40%
0-0,1,T. Hopfe (FRES),J. Sundstrom (UCSB),Sinker,Fly Out,91.8,2191.5,102.2,43.5,73.60%
1-2,0,J. Dixon (FRES),L. Mccollum (UCSB),Fastball,Ground Out,89.8,2240.6,61,6.1,61.50%
0-1,0,J. Dixon (FRES),J. Sundstrom (UCSB),Fastball,Pop Out,87.6,2284.8,89.1,83.8,78.10%
1-2,2,J. Dixon (FRES),J. Newman jr. (UCSB),Fastball,Fly Out,89.2,2281.9,94.5,32.6,94.20%
0-0,0,J. Dixon (FRES),B. Mortensen (UCSB),Fastball,Ground Out,87.1,2220.9,88.2,-12.2,53.70%
3-2,2,J. Dixon (FRES),N. Oakley (UCSB),Fastball,Line Out,88.1,2177.1,106.7,5.8,60.00%
0-0,0,J. Dixon (FRES),Z. Darby (UCSB),Changeup,Double Play,84.9,2446.6,83.1,1.3,96.70%
0-0,2,J. Dixon (FRES),C. Kirtley (UCSB),Fastball,Fly Out,89.8,2311.3,79.4,28.9,53.70%
0-0,2,J. Dixon (FRES),J. Newman jr. (UCSB),Sinker,Single on a Ground Ball,89,2111.9,97.8,-7.2,49.40%
2-1,2,J. Dixon (FRES),B. Mortensen (UCSB),Fastball,Ground Out,89.4,2136.6,65.5,-31.8,84.10%
1-1,1,J. Dixon (FRES),N. Oakley (UCSB),Slider,Fly Out,83.5,2463.3,95.1,51.6,94.60%
3-2,2,J. Dixon (FRES),L. Mccollum (UCSB),Cutter,Double on a Fly Ball,84.5,2245.4,80.6,26.8,97.70%
