Rank,playerId,abbrevName,playerFullName,player,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,fWAR,xWOBADf,wOBA,xWOBA,xAVG,xOBP,OBP,AVG,AB,RPW,RLR,rPOS,BSR,wRAA
2673,1198621184,T. Austin,Trevor Austin,Austin,2B,Mercer University,MER,730240512,Mercer,BBC,R,R,.127,.037,.294,.258,.216,.307,.348,.264,197,3.32,4.62,7.46,-.559,-11.100
2674,1204034560,M. Alexander,Matt Alexander,Alexander,2B,Bucknell University,BUCK,730214144,Bucknell,BBC,S,R,.127,-,.459,.459,-,.667,.667,.000,1,4.00,0.07,0.14,-.002,.299
2675,1273184256,K. Hilton,Kyle Hilton,Hilton,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,.127,.013,.279,.266,.194,.307,.292,.175,40,3.18,0.97,2.70,-.130,-3.138
2676,1124113920,W. Vergantino,Will Vergantino,Vergantino,2B,Elon University,ELON,730252544,Elon,BBC,R,R,.126,-.213,.289,.502,.475,.602,.379,.182,22,3.19,0.54,1.12,.225,-1.485
2677,1189989888,S. Sinisgalli,Sam Sinisgalli,Sinisgalli,C,Bryant University,BRY,730266880,Bryant,BBC,R,R,.126,.142,.386,.244,.059,.328,.429,.200,5,3.00,0.12,0.00,.013,.241
2678,1126988544,C. Harper,Carlton Harper,Harper,DH,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,.124,.113,.348,.235,.184,.257,.373,.314,194,3.31,4.25,-4.48,.484,.155
2679,1090444032,C. Peluso,Christian Peluso,Peluso,PH,Wagner College,WAG,730192640,Wagner,BBC,R,R,.124,-,.442,.000,-,.000,.500,.500,4,3.00,0.07,-0.04,.010,.337
2680,1183044608,C. Peek,Connor Peek,Peek,3B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,.124,.037,.317,.281,.231,.341,.365,.258,89,3.32,2.06,1.22,-.064,-2.807
2681,1246711296,N. Stocum,Nate Stocum,Stocum,DH,Western Carolina University,WCU,730278144,Western Carolina,BBC,L,L,.124,.092,.354,.261,.199,.279,.325,.250,204,3.40,4.57,-6.15,.636,1.364
2682,1249301248,J. Hollerbach,Joe Hollerbach,Hollerbach,3B,Cornell University,COR,730298624,Cornell,BBC,R,R,.123,-.016,.326,.342,.261,.337,.336,.260,96,3.23,2.03,0.96,-.553,-2.033
2683,1271585280,J. Banister,Jacob Banister,Banister,RF,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,.122,.171,.363,.193,.195,.195,.308,.308,13,3.11,0.24,-0.09,.042,.189
2684,1184443904,R. Watt,Rowan Watt,Watt,3B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,.121,.064,.331,.267,.208,.283,.333,.265,102,3.23,2.16,-0.47,.295,-1.593
2685,1162598144,C. Pittman,Cam Pittman,Pittman,CF,Radford University,RAD,730267392,Radford,BBC,L,L,.121,.062,.315,.252,.175,.314,.366,.238,84,3.41,2.02,1.05,.219,-2.877
2686,1253560832,C. Miller,Cole Miller,Miller,3B,University of Washington,WASH,3110,Washington,BBC,R,R,.120,.036,.321,.286,.229,.345,.375,.264,87,3.22,1.96,1.06,-.275,-2.361
2687,1123950336,C. Gasser,Camden Gasser,Gasser,3B,University of Michigan,MICH,2290,Michigan,BBC,L,R,.120,.101,.337,.236,.127,.314,.429,.273,11,3.13,0.26,0.02,.225,-.123
2688,1301041920,S. Low,Sam Low,Low,2B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,.119,.120,.301,.182,.103,.233,.333,.220,59,3.11,1.26,2.54,-.623,-2.799
2689,1108743681,M. Duke,Mason Duke,Duke,RF,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,.118,-,.884,.000,-,.000,1.000,1.000,1,3.00,0.02,-0.14,.001,.477
2690,1190201856,H. Polk,Hudson Polk,Polk,DH,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,.118,.026,.300,.274,.159,.315,.333,.182,55,3.23,1.31,3.24,-1.292,-2.873
2691,1330743296,A. Nevils,Alex Nevils,Nevils,C,Wofford College,WOF,730176512,Wofford,BBC,R,R,.118,-.052,.349,.401,.325,.509,.455,.250,8,3.08,0.20,0.36,-.212,.016
2692,1142594304,H. Thomas,Hunter Thomas,Thomas,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,.118,.053,.291,.238,.183,.262,.300,.226,53,3.17,1.11,2.52,-.288,-2.974
2693,1233440256,A. Papantonis,Andrew Papantonis,Papantonis,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,.118,.070,.377,.306,.121,.414,.467,.200,10,3.19,0.28,-0.32,.021,.397
2694,1245094144,J. Kehoe,Jay Kehoe,Kehoe,PH,Marshall University,MRSH,730333696,Marshall,BBC,L,L,.117,-.023,.459,.482,.071,.690,.667,.000,1,3.00,0.05,0.00,-.002,.299
2695,1300163328,O. Deshazo,Owen Deshazo,Deshazo,1B,Boston College,BC,227,Boston College,BBC,R,R,.115,-.007,.369,.377,.264,.264,.250,.250,8,3.33,0.16,0.04,.028,.160
2696,1336343296,T. Sheehan,Trevor Sheehan,Sheehan,PH,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,.115,-,.720,.720,-,1.000,1.000,-,0,3.00,0.02,0.00,-.003,.331
2696,1292499456,W. Carr,Will Carr,Carr,PH,College of William & Mary,WM,730232064,William & Mary,BBC,L,L,.115,-,.720,.720,-,1.000,1.000,-,0,3.00,0.02,0.00,-.003,.331
2696,1241147392,R. Carver,R.J. Carver,Carver,1B,Texas A&M-Corpus Christi,AMCC,4764,Texas A&M-Corpus Christi,BBC,L,R,.115,-,.720,.720,-,1.000,1.000,-,0,3.00,0.02,0.00,-.003,.331
2699,1253879552,J. Vitiello,Joey Vitiello,Vitiello,SS,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,.115,-.109,.286,.395,.369,.487,.343,.190,79,3.21,1.94,3.92,.040,-5.533
2700,1110844416,N. Terrell,Nick Terrell,Terrell,SS,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,.114,.041,.292,.251,.176,.292,.311,.200,50,3.24,1.18,1.86,.347,-3.014
2701,1337461248,"C. Miles, Jr.","Craig Miles, Jr.","Miles, Jr.",LF,George Mason University,GMU,730265088,George Mason,BBC,S,S,.113,.178,.347,.169,.117,.204,.414,.360,25,3.08,0.52,-0.23,.061,-.008
2702,1140317696,M. Lloyd,Mekhi Lloyd,Lloyd,CF,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,S,R,.112,.269,.322,.054,.000,.077,.359,.306,36,3.32,0.76,-0.26,.723,-.849
2703,1188029440,C. Evans,Caleb Evans,Evans,LF,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,.112,-,.353,.085,-,.121,.364,.281,57,3.25,1.30,-2.05,.765,.352
2704,1288013312,W. Jennings,Will Jennings,Jennings,2B,Iona College,IONA,730242048,Iona,BBC,L,R,.111,.056,.353,.297,.249,.367,.392,.280,125,3.26,2.95,-3.99,.540,.864
2705,1162140416,B. Shealor,Bennett Shealor,Shealor,C,George Mason University,GMU,730265088,George Mason,BBC,R,R,.110,.078,.289,.211,.108,.275,.357,.212,33,3.18,0.78,1.44,.287,-2.161
2706,1263647744,J. Thorbahn,Jack Thorbahn,Thorbahn,DH,Northeastern University,NE,343,Northeastern,BBC,L,R,.109,.204,.374,.170,.070,.221,.345,.222,45,3.16,1.02,-1.46,-.542,1.329
